name,position
Mr. Sher Bahadur Deuba,Prime Minister
Mr. Sher Bahadur Deuba,"Minister of Industry, Commerce and Supplies"
Mr. Bal Krishna Khand,Minister of Home Affairs
Mr. Gyanendra Bahadur Karki,Minister of Communications and Information Technology
Ms. Pampha Bhusal,"Minister of Energy, Water Resources and Irrigation"
Mr. Rajendra Prasad Shrestha,Minister of Federal Affairs and General Administration
Mr. Birodh Khatiwada,Minister of Health and Population
Mr. Janardan Sharma,Minister of Finance
Dr. Minendra Prasad Rijal,Minister of Defense
Mr. Umakanta Chaudhari,Minister of Water Supply
Dr. Narayan Khadka,Minister of Foreign Affairs
Ms. Renu Kumari Yadav,Minister of Physical Infrastructure and Transport
Mr. Prem Bahadur Ale,"Minister of Culture, Tourism and Civil Aviation"
Mr. Dilendra Prasad Badu,"Minister of Law, Justice and Parliamentary Affairs"
Mr. Devendra Paudel,"Minister of Education, Science and Technology"
Mr. Mahendra Rai Yadav,Minister of Agriculture and Livestock Development
Ms. Uma Regmi,"Minister of Women, Children and Senior Citizens"
Ms. Shashi Shrestha,"Minister of Land Management, Cooperatives and Poverty Alleviation"
Ms. Ram Kumari Jhakri,Minister of Urban Development
Mr. Ramsahay Prasad Yadav,Minister of Forests and Environment
Mr. Krishna Kumar Shrestha,"Minister of Labor, Employment and Social Security"
Mr. Maheshwar Jung Gahatraj (Aathak),Minister of Youth and Sports
Mr. Umesh Shrestha,State Minister: Office of the Prime Minister and council of Ministers
Mr. Bhawani Prasad Khapung,State Minister: Health and Population
Ms. Bodhmaya Kumari Yadav,"State Minister: Education, Science and Technology"
