name,position
Mr. Sher Bahadur Deuba,Prime Minister
Mr. Sher Bahadur Deuba,Minister of Defence
Mr. Bal Krishna Khand,Minister of Home Affairs
Mr. Gyanendra Bahadur Karki,Minister of Communications and Information Technology
Ms. Pampha Bhusal,"Minister of Energy, Water Resources and Irrigation"
Mr. Rajendra Prasad Shrestha,Minister of Federal Affairs and General Administration
Mr. Janardan Sharma,Minister of Finance
Mr. Umakanta Chaudhari,Minister of Water Supply
Dr. Narayan Khadka,Minister of Foreign Affairs
Mr. Mrigendra Kumar singh Yadav,Minister of Agriculture and Livestock Development
Ms. Mohammad Ishtiaq Rai,Minister of Physical Infrastructure and Transport
Mr. Dilendra Prasad Badu,"Minister of Industry, Commerce and Supplies"
Mr. Devendra Paudel,"Minister of Education, Science and Technology"
Ms. Uma Regmi,"Minister of Women, Children and Senior Citizens"
Ms. Shashi Shrestha,"Minister of Land Management, Cooperatives and Poverty Alleviation"
Mr. Maheshwar Jung Gahatraj (Aathak),Minister of Youth and Sports
Mr. Govinda Prasad Sharma (Koirala),"Minister of Law, Justice and Parliamentary Affairs"
Mr. Jeevan Rram Shrestha,"Minister of Culture, Tourism and Civil Aviation"
Ms. Metmani Chaudhary,Minister of Urban Development
Mr. Bhawani Prasad Khapung,Minister of Health and Population
Mr. Sher Bahadur Kunwor,"Minister of Labor, Employment and Social Security"
Mr. Pradip Yadav,Minister of Forests and Environment
Mr. Umesh Shrestha,State Minister: Office of the Prime Minister and council of Ministers
Ms. Bodhmaya Kumari Yadav,"State Minister: Education, Science and Technology"
Mr. Hira Chandra KC,State Minister: Health and Population
