item,itemLabel,startDate,endDate,psid
Q1779490,Krishna Bahadur Mahara,2018-03-10,2019-10-01,Q1779490-D3968149-D889-4A15-A282-84370C3B2513
Q3183124,Ram Chandra Poudel,1994-11-01,1999-05-01,Q3183124-26284B04-8342-48A9-AC65-DE8E2D8F65F8
Q380145,Krishna Prasad Bhattarai,1959-05-01,1960-12-01,Q380145-D945724D-1905-494A-831A-EFC22C28D242
Q4693207,Agni Sapkota,2020-01-27,,Q4693207-DBD4CAEE-060A-4A5C-855C-FDDC8ED29234
Q65920999,Daman Nath Dhungana,1991-05-01,1994-08-01,Q65920999-C4B2052F-B91E-47FF-8198-E4E951EC888D
Q7630835,Subash Nemwang,2006-04-01,2008-04-01,Q7630835-D6418A59-5C13-4CB1-A3FE-E52E6407F58D
Q7685404,Taranath Ranabhat,1999-05-01,2002-05-01,Q7685404-7C6E9F54-835F-400E-8968-57DA0D14D24C
