id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19700527,King of Nepal,Q837,Q837,,,,,,,
Q153756,President of Nepal,Q837,Q837,Q7925058,,2008-05-28,,,,President of Nepal
Q7925058,Vice President of Nepal,Q837,,,,2008-05-29,,,,Vice President of Nepal
Q30100626,Prime Minister of Nepal,Q837,Q837,,Q1764478,1803,,,,Prime Minister of Nepal
Q85756456,Deputy Prime Minister of Nepal,,,,,,,,,Deputy Prime Minister of Nepal
Q109747508,Minister of Agriculture and Livestock Development,Q837,Q837,,,,,,,
Q109747482,Minister of Communications and Information Technology,Q837,Q837,,,,,,,
Q110157823,"Minister for Constituent Assembly, Parliamentary Affairs and Culture",Q837,Q837,,,,,,,
Q109747500,"Minister of Culture, Tourism and Civil Aviation",Q837,Q837,,,,,,,
Q109747493,Minister of Defence,Q837,Q837,,,,,,,
Q109747504,"Minister of Education, Science and Technology",Q837,Q837,,,,,,,
Q109747483,"Minister of Energy, Water Resources and Irrigation",Q837,Q837,,,,,,,
Q109747487,Minister of Federal Affairs and General Administration,Q837,Q837,,,,,,,
Q109747492,Minister of Finance,Q837,Q837,,,,,,,
Q109747497,Minister of Foreign Affairs,Q837,Q837,,,,,,,
Q109747517,Minister of Forests and Environment,Q837,Q837,,,,,,,
Q109747489,Minister of Health and Population,Q837,Q837,,,,,,,
Q109747480,Minister of Home Affairs,Q837,Q837,,,,,,,
Q109747476,"Minister of Industry, Commerce and Supplies",Q837,Q837,,,,,,,
Q109747520,"Minister of Labour, Employment and Social Security",Q837,Q837,,,,,,,
Q109747513,"Minister of Land Management, Cooperatives and Poverty Alleviation",Q837,Q837,,,,,,,
Q109747502,"Minister of Law, Justice and Parliamentary Affairs",Q837,Q837,,,,,,,
Q109747499,Minister of Physical Infrastructure and Transport,Q837,Q837,,,,,,,
Q109747515,Minister of Urban Development,Q837,Q837,,,,,,,
Q109747495,Minister of Water Supply,Q837,Q837,,,,,,,
Q109747511,"Minister of Women, Children and Senior Citizens",Q837,Q837,,,,,,,
Q109747521,Minister of Youth and Sports,Q837,Q837,,,,,,,
Q109747527,"Minister of State for Education, Science and Technology",Q837,Q837,,,,,,,
Q109747524,Minister of State for Health and Population,Q837,Q837,,,,,,,
Q109747523,Minister of State for the Office of the Prime Minister and Council of Ministers,Q837,Q837,,,,,,,
Q109747661,Speaker of the House of Representatives of Nepal,,,,,,,,,
Q109747687,President of the National Assembly of Nepal,,,,,,,,,
Q109747741,Governor of the Nepal Rastra Bank,Q837,,,,,,,,
Q57896676,Chief of Army Staff,Q837,Q16056518,,,,,,,Chief of Army Staff (Nepal)
