ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q104833818,"M.P. Koirala cabinet, 1951",,,,,,,,,,,,,,,,
,Q105833717,"Bhattarai Interim Cabinet,1990",,,,,,,,,,,,,,,,
,Q85800171,Second Fateh Jung Shah ministry,1845-01-01,9,,,,,,,,,,,,,,
,Q97260525,"Mohan SJB Rana cabinet, 1951",1951-02-17,11,,,,,,,,,,,,,,
,Q104833794,"M.P. Koirala cabinet, 1953",1953-01-01,9,,,1953-01-01,9,,,,,,,,,,
,Q104833768,"Tanka Acharya cabinet, 1956",1956-01-27,11,,,1957-07-26,11,,,,,,,,,,
,Q104833727,"K.I. Singh cabinet, 1957",1957-07-26,11,,,1957-11-14,11,,,,,,,,,,
,Q104833701,"B.P. Koirala cabinet, 1959",1959-05-27,11,,,,,,,,,,,,,,
,Q4682531,"Adhikari cabinet, 1994",1994-09-30,11,,,1995-09-12,11,,,,,,,,,,
,Q5070893,"Chand cabinet, 2002",2002-10-11,11,,,,,,,,,,,,,,
,Q2932347,First Dahal cabinet,2008-08-15,11,,,,,,,,,,,,,,
,Q48989042,Madhav Nepal cabinet,2009-05-23,11,,,,,,,,,,,,,,
,Q48966068,Khanal cabinet,2011-02-06,11,,,,,,,,,,,,,,
,Q48966035,Bhattarai cabinet,2011-03-29,11,,,,,,,,,,,,,,
,Q13178961,Regmi interim cabinet,2013-03-14,11,,,,,,,,,,,,,,
,Q48965834,"Koirala cabinet, 2013",2014-02-25,11,,,,,,,,,,,,,,
,Q48965846,"Oli cabinet, 2015",2015-10-12,11,,,,,,,,,,,,,,
,Q48965865,Second Dahal cabinet,2016-08-04,11,,,,,,,,,,,,,,
,Q42956285,"Deuba cabinet, 2017",2017-06-07,11,,,,,,,,,,,,,,
,Q48990407,"Oli cabinet, 2018",2018-02-15,11,,,2021-07-13,11,,,,,,,,,,
,Q107523802,Third Oli cabinet,2021-05-13,11,,,,,,,,,,,,,,
,Q107523776,"Fifth Deuba Cabinet, 2021",2021-07-13,11,,,,,,,,,,,,,,
